what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1324049073240
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1324049079444
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1324049081225
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1324049081334
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1324049084159
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1324049084174
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1324049086941
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1324049087905
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1324049090107
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324049091261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049120105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049126880
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1324049127005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049134098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049140947
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1324049142577
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1324049142585
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1324049145999
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1324049149492
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1324049149565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324049154789
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1324049154818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049160984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324049166741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049173149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049182739
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1324049187215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049187361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049187441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049187476
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324049187828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049193070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049226894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049231291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324049236256
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1324049249197
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1324049249291
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.MemoryView",1324049251430
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.RegisterView",1324049251475
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.ModuleView",1324049251514
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1324049255715
